Categorias e Subcategorias,Planejamento
Receitas,---
PLR & Bonus,---
Renda Extra,---
Salário & 13,---
Henrique,---
Keth,---
Despesas Mensais,"31.345,54"
Alimentação,"535,21"
Restaurantes e Bares,"384,73"
Delivery,"111,70"
Padaria,"38,78"
Assinaturas,"325,89"
Seguro Celular,"91,04"
Streaming,"72,94"
Serviços e Apps,"161,91"
Educação,"2.064,65"
MBA,"1.605,00"
Livros,"154,06"
App e Serviços,"202,41"
Cursos,"103,18"
Gastos Pessoais,"675,42"
Salão,"340,59"
Eletrônicos e Gadgets,"95,48"
Roupas e Sapatos,"239,35"
Lazer,"228,09"
"Cinema, Teatro","151,71"
Outros Lazer,"76,38"
Moradia,"8.389,30"
Parcela Ap,"4.056,87"
Aluguel,"2.263,46"
Condominio,"722,52"
Internet,"382,71"
Itens de casa,"269,93"
Energia,"160,31"
Água,---
Manutenção,"533,50"
Outros Gastos,"4.558,72"
Doação,"301,34"
Presente,"609,80"
Casamento,"3.393,56"
Outros,"254,02"
Pets,"853,39"
Banho e Tosa,"295,90"
Consulta Pet,"347,20"
Petshop,"210,29"
Saúde,"2.871,54"
Consulta e Procedimento,"1.466,65"
Academia,"529,05"
Farmacia,"234,54"
Esportes e Atividades,"393,94"
Plano de Saúde,---
Suplemento,"247,36"
Supermercado,"694,71"
Lojinha,"225,47"
Mercado,"379,96"
Feira,"89,28"
Transporte,"1.522,72"
Combustível,"421,70"
Aplicativo,"256,60"
Estacionamento,"65,98"
Mecanico,"611,24"
Pedagio,"167,20"
Viagem,"8.625,90"
Gastos Viagens,"512,77"
Hoteis,"2.538,82"
Passagem,"5.574,31"
Turismo,---
